1,1,4,6,-2
1,2,10,9,1
1,3,11,15,-4
1,4,11,12,-1
1,5,7,9,-2
1,6,8,7,1
1,7,12,8,4
1,8,13,11,2
1,9,16,27,-11
1,10,17,32,-15
2,1,1,0,1
2,2,4,4,0
2,3,2,2,0
2,4,0,0,0
2,5,10,16,-6
2,6,22,22,0
2,7,15,28,-13
2,8,12,15,-3
2,9,12,37,-25
2,10,11,34,-23
3,1,3,0,3
3,2,14,3,11
3,3,8,14,-6
3,4,6,10,-4
3,5,16,9,7
3,6,6,18,-12
3,7,13,13,0
3,8,11,17,-6
3,9,2,17,-15
3,10,3,32,-29
4,1,0,1,-1
4,2,0,5,-5
4,3,1,6,-5
4,4,8,8,0
4,5,8,12,-4
4,6,3,21,-18
4,7,1,7,-6
4,8,1,4,-3
4,9,0,3,-3
4,10,4,4,0
5,1,2,0,2
5,2,1,4,-3
5,3,1,6,-5
5,4,3,11,-8
5,5,2,7,-5
5,6,3,0,3
5,7,6,7,-1
5,8,9,4,5
5,9,11,5,6
5,10,14,7,7
6,1,0,1,-1
6,2,4,0,4
6,3,3,1,2
6,4,2,12,-10
6,5,10,11,-1
6,6,3,13,-10
6,7,12,11,1
6,8,11,25,-14
6,9,5,20,-15
6,10,11,19,-8
7,1,1,0,1
7,2,4,3,1
7,3,4,1,3
7,4,8,8,0
7,5,12,2,10
7,6,10,3,7
7,7,17,6,11
7,8,21,12,9
7,9,13,24,-11
7,10,25,19,6
8,1,1,2,-1
8,2,3,0,3
8,3,10,1,9
8,4,5,4,1
8,5,3,1,2
8,6,4,9,-5
8,7,6,7,-1
8,8,2,11,-9
8,9,6,8,-2
8,10,6,5,1
9,1,0,0,0
9,2,3,2,1
9,3,5,3,2
9,4,6,10,-4
9,5,10,11,-1
9,6,3,8,-5
9,7,6,7,-1
9,8,4,8,-4
9,9,6,20,-14
9,10,4,21,-17
10,1,1,1,0
10,2,1,5,-4
10,3,10,10,0
10,4,15,4,11
10,5,15,13,2
10,6,16,15,1
10,7,5,22,-17
10,8,13,10,3
10,9,10,12,-2
10,10,20,20,0
11,1,0,0,0
11,2,0,1,-1
11,3,2,6,-4
11,4,3,2,1
11,5,5,6,-1
11,6,1,14,-13
11,7,6,10,-4
11,8,13,5,8
11,9,21,7,14
11,10,7,8,-1
12,1,3,2,1
12,2,12,9,3
12,3,7,9,-2
12,4,8,13,-5
12,5,13,20,-7
12,6,19,18,1
12,7,5,14,-9
12,8,9,10,-1
12,9,24,2,22
12,10,8,3,5
13,1,5,1,4
13,2,9,3,6
13,3,7,3,4
13,4,6,2,4
13,5,4,6,-2
13,6,5,8,-3
13,7,2,3,-1
13,8,3,7,-4
13,9,7,4,3
13,10,1,14,-13
14,1,12,0,12
14,2,14,1,13
14,3,18,4,14
14,4,10,9,1
14,5,25,12,13
14,6,40,23,17
14,7,23,11,12
14,8,27,11,16
14,9,5,10,-5
14,10,8,12,-4
15,1,4,6,-2
15,2,1,4,-3
15,3,2,5,-3
15,4,0,9,-9
15,5,3,10,-7
15,6,5,0,5
15,7,7,0,7
15,8,8,16,-8
15,9,17,23,-6
15,10,16,5,11
16,1,0,0,0
16,2,5,2,3
16,3,4,1,3
16,4,3,1,2
16,5,0,3,-3
16,6,14,7,7
16,7,3,10,-7
16,8,6,6,0
16,9,12,7,5
16,10,8,9,-1
17,1,2,1,1
17,2,4,5,-1
17,3,1,2,-1
17,4,1,3,-2
17,5,6,3,3
17,6,7,5,2
17,7,5,5,0
17,8,10,4,6
17,9,2,2,0
17,10,10,12,-2
18,1,0,2,-2
18,2,2,8,-6
18,3,2,5,-3
18,4,0,4,-4
18,5,0,6,-6
18,6,0,6,-6
18,7,2,2,0
18,8,1,10,-9
18,9,5,10,-5
18,10,9,8,1
19,1,2,0,2
19,2,2,5,-3
19,3,3,5,-2
19,4,7,4,3
19,5,6,1,5
19,6,4,8,-4
19,7,4,12,-8
19,8,4,5,-1
19,9,16,18,-2
19,10,13,15,-2
20,1,3,2,1
20,2,2,2,0
20,3,4,2,2
20,4,5,3,2
20,5,6,4,2
20,6,4,5,-1
20,7,5,4,1
20,8,4,4,0
20,9,6,3,3
20,10,0,1,-1
21,1,11,5,6
21,2,16,6,10
21,3,5,4,1
21,4,8,7,1
21,5,4,15,-11
21,6,4,12,-8
21,7,5,18,-13
21,8,8,3,5
21,9,9,8,1
21,10,11,12,-1
22,1,0,3,-3
22,2,4,0,4
22,3,8,0,8
22,4,4,4,0
22,5,3,10,-7
22,6,4,12,-8
22,7,2,8,-6
22,8,3,5,-2
22,9,9,1,8
22,10,4,5,-1
23,1,3,4,-1
23,2,12,16,-4
23,3,9,33,-24
23,4,11,22,-11
23,5,14,15,-1
23,6,27,9,18
23,7,21,8,13
23,8,14,18,-4
23,9,5,16,-11
23,10,12,11,1
24,1,0,0,0
24,2,2,0,2
24,3,8,2,6
24,4,7,6,1
24,5,9,5,4
24,6,9,4,5
24,7,18,6,12
24,8,14,4,10
24,9,15,12,3
24,10,16,11,5
25,1,1,0,1
25,2,2,2,0
25,3,2,1,1
25,4,4,4,0
25,5,2,2,0
25,6,4,1,3
25,7,3,13,-10
25,8,3,6,-3
25,9,1,3,-2
25,10,2,13,-11
26,1,1,1,0
26,2,4,2,2
26,3,12,2,10
26,4,13,4,9
26,5,9,6,3
26,6,3,2,1
26,7,4,2,2
26,8,0,0,0
26,9,4,1,3
26,10,4,1,3
27,1,2,0,2
27,2,3,0,3
27,3,2,5,-3
27,4,8,6,2
27,5,2,6,-4
27,6,0,1,-1
27,7,6,3,3
27,8,12,4,8
27,9,14,10,4
27,10,16,3,13
28,1,0,0,0
28,2,0,10,-10
28,3,5,1,4
28,4,6,5,1
28,5,9,5,4
28,6,1,7,-6
28,7,1,16,-15
28,8,6,5,1
28,9,16,12,4
28,10,16,24,-8
29,1,0,2,-2
29,2,1,5,-4
29,3,8,4,4
29,4,13,11,2
29,5,10,1,9
29,6,3,3,0
29,7,6,9,-3
29,8,4,4,0
29,9,3,1,2
29,10,4,1,3
30,1,2,8,-6
30,2,3,8,-5
30,3,15,8,7
30,4,19,16,3
30,5,7,17,-10
30,6,8,5,3
30,7,13,7,6
30,8,13,3,10
30,9,21,13,8
30,10,19,11,8
31,1,1,5,-4
31,2,0,1,-1
31,3,1,6,-5
31,4,1,8,-7
31,5,4,9,-5
31,6,0,10,-10
31,7,7,13,-6
31,8,5,8,-3
31,9,11,11,0
31,10,20,21,-1
32,1,0,5,-5
32,2,2,2,0
32,3,6,1,5
32,4,3,6,-3
32,5,0,2,-2
32,6,1,5,-4
32,7,4,6,-2
32,8,8,2,6
32,9,3,0,3
32,10,1,2,-1
33,1,2,1,1
33,2,7,6,1
33,3,3,8,-5
33,4,7,25,-18
33,5,10,22,-12
33,6,18,10,8
33,7,10,19,-9
33,8,12,10,2
33,9,10,7,3
33,10,8,4,4
34,1,3,5,-2
34,2,3,1,2
34,3,1,4,-3
