,N,rho=10,rho=15,rho=20,rho=25,rho=30
0,0,-13.095238095238097,-13.445378151260506,-13.636363636363638,-13.756613756613758,-13.839285714285715
1,0,0.12025012025012029,0.12732365673542148,0.13118194936376754,0.13361124472235586,0.1352813852813853
2,0,0.12025012025012029,0.12732365673542148,0.13118194936376754,0.13361124472235586,0.1352813852813853
3,0,0.12025012025012029,0.12732365673542148,0.13118194936376754,0.13361124472235586,0.1352813852813853
4,0,0.12025012025012029,0.12732365673542148,0.13118194936376754,0.13361124472235586,0.1352813852813853
5,1,7.5063601671682685,1.8713318271833808,-1.2211990030171849,-3.1749764356574244,
6,0,0.12025012025012029,0.12732365673542148,0.13118194936376754,0.13361124472235586,0.1352813852813853
7,3,4.799934177386192,-0.31191051738252185,-3.1227986331605044,-4.900615088854625,-6.126405231629572
8,1,6.215071755483779,1.420171831248617,-1.2192102074989775,-2.8895488015699833,-4.041678152374593
9,0,0.12025012025012029,0.12732365673542148,0.13118194936376754,0.13361124472235586,0.1352813852813853
10,1,5.461230302927125,1.1567037215562936,-1.2178180506362324,-2.722363898327584,-3.760952477113341
11,2,4.2048750820428955,0.10017095587357311,-2.1665958284140103,-3.6037580765877726,-4.596231230869877
12,2,3.875515600364411,-0.01462150164502743,-2.1653486628811307,-3.5298234883033595,-4.4724956282832045
13,-1,-4.229174516670741,-0.5554286228344523,1.4779860730751078,2.7688711103024235,3.66107653172456
14,1,4.172507570384185,0.706180333628746,-1.2148597173028992,-2.435280861052561,-3.2791764913884376
15,2,2.985826334305839,-0.3245898941938985,-2.161449629583601,-3.3291962874837746,-4.137029532812616
16,1,3.623127519393895,0.5141019084852587,-1.2132861357426155,-2.312256688997106,-3.0728776202735872
17,-2,-2.2259649350703845,0.7600566993028541,2.421074422482047,3.4785346528498553,4.210746629511913
18,0,0.12025012025012029,0.12732365673542148,0.13118194936376754,0.13361124472235586,0.1352813852813853
19,4,0.19724559655518997,-2.5266108199189525,-4.045960907779089,-5.014740537540144,-5.686226383185581
20,1,2.683497330910079,0.1856262319711208,-1.2099291617473436,-2.1005813031549074,-2.7182752342032144
