,N,rho=10,rho=15,rho=20,rho=25,rho=30
0,0,-13.095238095238097,-13.445378151260506,-13.636363636363638,-13.756613756613758,-13.839285714285715
1,1,0.4136604136604136,0.4650763531218941,0.4930014430014429,0.5105400184765265,0.5225779967159275
2,1,0.42275132275132277,0.47198879551820727,0.4985569985569983,0.5151782374004595,0.5265567765567764
3,1,0.43386243386243395,0.48056022408963595,0.5055014430014427,0.5210057432279654,0.531573498964803
4,1,0.4477513227513228,0.4914693149987268,0.5144300144300141,0.5285472213576788,0.538095238095238
5,1,0.4656084656084656,0.5058233819843728,0.5263347763347762,0.5386892091872936,0.5469187675070025
6,0,1.3227513227513228,1.400560224089636,1.4430014430014428,1.4697236919459142,1.488095238095238
7,0,1.3227513227513228,1.400560224089636,1.4430014430014428,1.4697236919459142,1.488095238095238
8,0,1.3227513227513228,1.400560224089636,1.4430014430014428,1.4697236919459142,1.488095238095238
9,-4,3.9894179894179893,4.257703081232493,4.443001443001442,4.580834803057025,4.688095238095237
10,12,2.9539321789321797,2.571076328046267,2.3265331890331895,2.1526474480690663,2.0211824840650143
