,N,rho=10,rho=15,rho=20,rho=25,rho=30
0,0,-13.095238095238097,-13.445378151260506,-13.636363636363638,-13.756613756613758,-13.839285714285715
1,1,0.4136604136604136,0.4650763531218941,0.4930014430014429,0.5105400184765265,0.5225779967159275
2,0,1.3227513227513228,1.400560224089636,1.4430014430014428,1.4697236919459142,1.488095238095238
3,7,-4.8994708994708995,-5.039439775910364,-5.119498556998556,-5.1713019490797265,-5.207556935817806
4,1,0.4477513227513228,0.4914693149987268,0.5144300144300141,0.5285472213576788,0.538095238095238
5,6,-3.8201058201058196,-3.9678608285419417,-4.056998556998556,-4.116483204605809,-4.158963585434173
6,8,-5.343915343915343,-5.599439775910364,-5.756998556998557,-5.863609641387419,-5.940476190476192
7,7,-4.277248677248676,-4.522516698987286,-4.681998556998558,-4.793434202790928,-4.875541125541125
8,-2,2.822751322751323,3.000560224089636,3.1096681096681094,3.1840094062316284,3.238095238095238
9,-10,7.989417989417989,8.543417366946779,8.943001443001444,9.247501469723693,9.488095238095237
10,3,18.439646464646458,18.673551747363792,18.748755411255406,18.761120946742196,18.746864602458132
