,N,rho=10,rho=15,rho=20,rho=25,rho=30
0,0,-13.095238095238097,-13.445378151260506,-13.636363636363638,-13.756613756613758,-13.839285714285715
1,2,-0.49543049543049555,-0.4704075178458478,-0.45699855699855707,-0.4486436549928612,-0.44293924466338286
2,1,0.42275132275132277,0.47198879551820727,0.4985569985569983,0.5151782374004595,0.5265567765567764
3,1,0.43386243386243395,0.48056022408963595,0.5055014430014427,0.5210057432279654,0.531573498964803
4,0,1.3227513227513228,1.400560224089636,1.4430014430014428,1.4697236919459142,1.488095238095238
5,1,0.4656084656084656,0.5058233819843728,0.5263347763347762,0.5386892091872936,0.5469187675070025
6,5,-2.843915343915344,-2.974439775910364,-3.056998556998557,-3.113609641387419,-3.154761904761905
7,-3,3.7227513227513223,3.9390217625511745,4.068001443001442,4.153934218261703,4.215367965367965
8,1,0.5727513227513229,0.600560224089636,0.6096681096681096,0.612580834803057,0.6130952380952379
9,6,-2.6772486772486768,-2.8851540616246494,-3.0569985569985563,-3.196942974720751,-3.311904761904761
10,-5,12.171356421356421,12.376864894318706,12.556295093795093,12.704698092888396,12.82728414102874
