,N,rho=10,rho=15,rho=20,rho=25,rho=30
0,0,-13.095238095238097,-13.445378151260506,-13.636363636363638,-13.756613756613758,-13.839285714285715
1,0,1.3227513227513228,1.400560224089636,1.4430014430014428,1.4697236919459142,1.488095238095238
2,1,0.42275132275132277,0.47198879551820727,0.4985569985569983,0.5151782374004595,0.5265567765567764
3,-4,4.878306878306878,5.080560224089636,5.193001443001443,5.26459548681771,5.314182194616977
4,-3,3.9477513227513223,4.127832951362363,4.228715728715729,4.29325310371062,4.338095238095238
5,2,-0.3915343915343916,-0.38891346012089034,-0.3903318903318904,-0.3923452735713271,-0.39425770308123287
6,5,-2.843915343915344,-2.974439775910364,-3.056998556998557,-3.113609641387419,-3.154761904761905
7,-3,3.7227513227513223,3.9390217625511745,4.068001443001442,4.153934218261703,4.215367965367965
8,-1,2.072751322751323,2.200560224089636,2.2763347763347763,2.3268665490887717,2.363095238095238
9,-2,2.656084656084656,2.8291316526610646,2.9430014430014424,3.0252792475014694,3.088095238095238
10,-4,-2.6924603174603154,-3.240924447069957,-3.5669191919191925,-3.7862618631541443,-3.9451825667938194
