,N,rho=10,rho=15,rho=20,rho=25,rho=30
0,0,-13.095238095238097,-13.445378151260506,-13.636363636363638,-13.756613756613758,-13.839285714285715
1,-1,2.231842231842232,2.3360440950573778,2.3930014430014426,2.428907365415302,2.453612479474548
2,2,-0.47724867724867726,-0.45658263305322144,-0.4458874458874462,-0.43936721714499516,-0.4349816849816852
3,-3,3.989417989417989,4.160560224089636,4.255501443001442,4.31587753809976,4.357660455486542
4,8,-5.677248677248677,-5.872167048637637,-5.985569985569986,-6.059688072759969,-6.1119047619047615
5,-9,9.037037037037038,9.453191803037004,9.693001443001442,9.8490340367735,9.958683473389355
6,2,-0.34391534391534373,-0.349439775910364,-0.3569985569985572,-0.363609641387419,-0.3690476190476195
7,-2,2.9227513227513224,3.0928679163973287,3.193001443001443,3.2591973761564406,3.3062770562770565
8,4,-1.6772486772486768,-1.7994397759103637,-1.8903318903318902,-1.9588477366255146,-2.011904761904762
9,-2,2.656084656084656,2.8291316526610646,2.9430014430014424,3.0252792475014694,3.088095238095238
10,2,0.4337662337662336,0.05121169352968136,-0.16235569985569875,-0.3001691394148165,-0.39720416059819813
