,N,rho=10,rho=15,rho=20,rho=25,rho=30
0,0,-13.095238095238097,-13.445378151260506,-13.636363636363638,-13.756613756613758,-13.839285714285715
1,1,0.4136604136604136,0.4650763531218941,0.4930014430014429,0.5105400184765265,0.5225779967159275
2,0,1.3227513227513228,1.400560224089636,1.4430014430014428,1.4697236919459142,1.488095238095238
3,-5,5.7671957671957665,6.000560224089637,6.130501443001442,6.213313435535658,6.270703933747413
4,2,-0.4272486772486772,-0.41762159409218236,-0.4141414141414146,-0.41262924923055655,-0.411904761904762
5,5,-2.962962962962963,-3.0731239864366797,-3.14033189033189,-3.185448721847189,-3.2177871148459385
6,-1,2.156084656084656,2.275560224089636,2.3430014430014428,2.386390358612581,2.4166666666666665
7,0,1.3227513227513228,1.400560224089636,1.4430014430014428,1.4697236919459142,1.488095238095238
8,6,-3.1772486772486763,-3.3994397759103627,-3.5569985569985563,-3.6731334509112283,-3.761904761904761
9,14,-8.01058201058201,-8.599439775910364,-9.056998556998558,-9.419165196942972,-9.71190476190476
10,-4,16.690836940836938,17.392686034129657,17.95232683982684,18.39729917902911,18.756648041525455
