,N,rho=10,rho=15,rho=20,rho=25,rho=30
0,0,-13.095238095238097,-13.445378151260506,-13.636363636363638,-13.756613756613758,-13.839285714285715
1,-1,2.231842231842232,2.3360440950573778,2.3930014430014426,2.428907365415302,2.453612479474548
2,0,1.3227513227513228,1.400560224089636,1.4430014430014428,1.4697236919459142,1.488095238095238
3,3,-1.3439153439153433,-1.3594397759103638,-1.3694985569985567,-1.3764301542079316,-1.3814699792960659
4,4,-2.177248677248677,-2.2358034122740005,-2.271284271284272,-2.294982190407027,-2.3119047619047617
5,3,-1.2486772486772484,-1.283650302226153,-1.3069985569985567,-1.3233797563299474,-1.3354341736694677
6,2,-0.34391534391534373,-0.349439775910364,-0.3569985569985572,-0.363609641387419,-0.3690476190476195
7,1,0.5227513227513229,0.5544063779357897,0.5680014430014428,0.5749868498406511,0.5790043290043287
8,-2,2.822751322751323,3.000560224089636,3.1096681096681094,3.1840094062316284,3.238095238095238
9,3,-0.677248677248677,-0.7422969187675068,-0.8069985569985567,-0.8636096413874184,-0.9119047619047616
10,-2,11.986147186147186,12.124437415176455,12.234469696969699,12.320997826900005,12.390239725439036
