,N,rho=10,rho=15,rho=20,rho=25,rho=30
0,0,-13.095238095238097,-13.445378151260506,-13.636363636363638,-13.756613756613758,-13.839285714285715
1,0,1.3227513227513228,1.400560224089636,1.4430014430014428,1.4697236919459142,1.488095238095238
2,2,-0.47724867724867726,-0.45658263305322144,-0.4458874458874462,-0.43936721714499516,-0.4349816849816852
3,2,-0.4550264550264549,-0.4394397759103641,-0.4319985569985574,-0.42771220548998334,-0.42494824016563193
4,-8,8.322751322751323,8.67328749681691,8.871572871572873,8.999135456651798,9.088095238095237
5,12,-8.962962962962962,-9.33628188117352,-9.556998556998556,-9.702690101157533,-9.806022408963585
6,-3,3.8227513227513223,4.025560224089635,4.143001443001443,4.219723691945914,4.273809523809524
7,5,-2.677248677248677,-2.8302090066795946,-2.931998556998557,-3.003960518580402,-3.0573593073593077
8,-3,3.5727513227513223,3.8005602240896357,3.9430014430014424,4.041152263374485,4.113095238095237
9,13,-7.343915343915343,-7.88515406162465,-8.306998556998558,-8.641387419165197,-8.911904761904763
10,4,15.970634920634918,16.49307734061604,16.909668109668107,17.241996114233753,17.51140687956545
