,N,rho=10,rho=15,rho=20,rho=25,rho=30
0,0,-13.095238095238097,-13.445378151260506,-13.636363636363638,-13.756613756613758,-13.839285714285715
1,0,1.3227513227513228,1.400560224089636,1.4430014430014428,1.4697236919459142,1.488095238095238
2,3,15.938987376051118,3.5492159574109916,-3.3736652236652236,-7.792148138349495,-10.856610936250839
3,1,15.938987376051118,3.5492159574109916,-3.3736652236652236,-7.792148138349495,-10.856610936250839
4,-3,-0.18587989323047838,3.8337852364598897,6.178715728715728,7.711754566294573,8.791547724487959
5,1,1.6743329976812804,-0.22780442198880113,-1.398665223665224,-2.1861753330371787,-2.7507913339347443
6,-5,1.6743329976812804,-0.22780442198880113,-1.398665223665224,-2.1861753330371787,-2.7507913339347443
7,-8,6.002488977761601,7.105461844718491,7.833001443001445,8.339789278193345,8.711064814519405
8,11,-8.904070562297534,-9.170168529929906,-9.473665223665224,-9.734041483754412,-9.948493819380335
9,-3,5.451097949890617,5.255565921435048,5.268001443001443,5.33360814956615,5.411087261811661
10,-18,-25.817790447102233,-1.6226496163570325,11.931969696969697,20.592426497141535,26.600789035122947
