,N,rho=10,rho=15,rho=20,rho=25,rho=30
0,0,-13.095238095238097,-13.445378151260506,-13.636363636363638,-13.756613756613758,-13.839285714285715
1,0,1.3227513227513228,1.400560224089636,1.4430014430014428,1.4697236919459142,1.488095238095238
2,3,-18.693484730548473,-6.31952408066029,0.5930014430014436,5.004322794968595,8.063570643210545
3,-1,11.262895412890154,4.347012096539615,0.4117514430014424,-2.1256941750092,-3.897178536306913
4,0,1.3227513227513228,1.400560224089636,1.4430014430014428,1.4697236919459142,1.488095238095238
5,-1,3.388618711966995,1.5616692622217254,0.4346681096681091,-0.3241063675199378,-0.8684383927582744
6,2,0.16915564442826891,0.9804618447184907,1.5330014430014431,1.9231226115266782,2.2110648145194047
7,-6,4.634266234875453,4.828065959521993,4.855501443001442,4.842482925597459,4.81922482349336
8,2,1.7995732078001776,1.5712889781091781,1.5263347763347765,1.530631724789099,1.549684295570811
9,9,-2.5489020501093824,-3.315862649993524,-3.731998556998558,-3.9997251837671834,-4.188912738188337
10,13,10.437613018432256,6.991146292624046,5.128100649350651,3.966132042136419,3.1740803285546417
