,N,rho=10,rho=15,rho=20,rho=25,rho=30
0,0,-13.0952381,-13.44537815,-13.63636364,-13.75661376,-13.83928571
1,-4,-53.07725946,-13.10266941,8.948001443,22.91952203,32.5639614
2,-1,-29.93597278,-6.834698383,6.070779221,14.30670644,20.01837374
3,6,12.79889193,-0.356029156,-7.838248557,-12.66169337,-16.02865544
4,0,1.322751323,1.400560224,1.443001443,1.469723692,1.488095238
5,-6,4.220834335,8.131432913,10.51800144,12.11639331,13.25947282
6,-16,15.60893078,17.87037752,19.35300144,20.38317883,21.13687547
7,-16,16.88708077,18.0022254,18.85550144,19.49174226,19.9770364
8,-5,8.743991966,8.689056482,8.85966811,9.052226365,9.227474916
9,1,-3.29655908,-2.493429949,-2.231998557,-2.150506174,-2.14031852
10,2,39.82254831,-17.86144749,-50.3413438,-71.17067962,-85.66303031
