,N,rho=10,rho=15,rho=20,rho=25,rho=30
0,0,-13.0952381,-13.44537815,-13.63636364,-13.75661376,-13.83928571
1,3,-11.82130656,-4.680664615,-0.741998557,1.753491788,3.476071216
2,-1,7.994830007,3.973921659,1.726334776,0.291523991,-0.703729897
3,1,-2.583222633,-0.194923733,1.161751443,2.035717682,2.645505337
4,-2,4.450628395,3.316757947,2.6501443,2.212576146,1.903611076
5,-1,2.582802357,2.050754465,1.718001443,1.492469994,1.330035008
6,-4,4.485060993,4.457259684,4.413001443,4.374146274,4.342343475
7,-4,4.026589627,4.235369828,4.330501443,4.383450454,4.416653585
8,-3,2.913810694,3.210317306,3.35966811,3.449421014,3.509232219
9,3,0.032200198,-0.171580734,-0.281998557,-0.353425933,-0.404240754
10,15,1.013845014,-2.751833656,-4.699042208,-5.882757653,-6.67619555
