,N,rho=10,rho=15,rho=20,rho=25,rho=30
0,0,-13.0952381,-13.44537815,-13.63636364,-13.75661376,-13.83928571
1,2,-49.60313193,-15.90862416,2.678001443,14.45471789,22.58411992
2,3,-28.58847676,-9.139164092,1.726334776,8.660457347,13.46933681
3,1,-13.7895386,-2.703864147,3.599251443,7.661790596,10.49725216
4,20,-22.67295487,-17.24333294,-14.06414141,-11.98187485,-10.51362228
5,-3,5.793604159,2.931927058,1.168001443,-0.019102855,-0.870491224
6,-4,3.849830246,2.81071482,2.073001443,1.542953961,1.147918557
7,2,2.061799318,2.300194068,2.580501443,2.816290009,3.006709786
8,-2,-0.283683068,0.217986468,0.35966811,0.394419232,0.391312433
9,6,0.667296023,-0.194634905,-0.581998557,-0.791791208,-0.918631582
10,8,115.6604936,50.37417597,14.09774351,-8.981246368,-24.95461887
