,N,rho=10,rho=15,rho=20,rho=25,rho=30
0,0,-13.095238095238097,-13.445378151260506,-13.636363636363638,-13.756613756613758,-13.839285714285715
1,-3,-65.89124769118831,-17.78075125397497,8.758001443001444,25.57327449099359,37.180761530739005
2,-12,-26.632634129872038,1.4998273243432005,17.215223665223665,27.24412947663304,34.199140925001664
3,-12,-26.632634129872038,1.4998273243432005,17.215223665223665,27.24412947663304,34.199140925001664
4,-20,9.571290982220626,18.924271615411804,24.37871572871573,27.944184948541377,30.455346040974185
5,-7,4.617510703350261,9.305647013433104,12.168001443001442,14.085471427663414,15.456919806868225
6,-3,4.617510703350261,9.305647013433104,12.168001443001442,14.085471427663414,15.456919806868225
7,10,4.971053058567977,7.002006708354216,8.373001443001444,9.337648257991749,10.048346875126194
8,-3,7.997066970241616,7.763619816419086,7.8596681096681085,8.014204935520116,8.167604081016758
9,2,-4.7740244617985255,-3.859962731193633,-3.5819985569985566,-3.51135104653747,-3.520505957841519
10,1,105.25134609023829,-20.2147546793086,-90.91747474747474,-136.26054963848853,-167.80438831946864
