,N,rho=10,rho=15,rho=20,rho=25,rho=30
0,0,-13.095238095238097,-13.445378151260506,-13.636363636363638,-13.756613756613758,-13.839285714285715
1,-4,-53.07725946444423,-13.102669410076535,8.948001443001441,22.919522031928587,32.56396139875563
2,-1,-29.93597277623401,-6.83469838269084,6.070779220779221,14.306706441715308,20.01837373770498
3,6,-29.93597277623401,-6.83469838269084,6.070779220779221,14.306706441715308,20.01837373770498
4,0,1.3227513227513228,1.400560224089636,1.4430014430014428,1.4697236919459142,1.488095238095238
5,-6,4.220834334616097,8.131432912671393,10.518001443001442,12.116393309771658,13.259472821445037
6,-16,4.220834334616097,8.131432912671393,10.518001443001442,12.116393309771658,13.259472821445037
7,-16,15.608930777294221,17.87037751954322,19.353001443001446,20.383178828310193,21.136875471862567
8,-5,8.743991966413482,8.689056481554498,8.85966810966811,9.052226365185298,9.227474916264159
9,1,-3.2965590800311757,-2.4934299485314355,-2.231998556998557,-2.1505061737932536,-2.1403185202352635
10,2,95.22365945649032,-1.511985775279987,-55.912871572871566,-90.76373048993692,-114.99249590875667
